name	desc	unit	group
VO2max	Maximal oxygen consumption relative to fat-free mass	ml/min/(kg FFM)	Clinical data
Energy	Energy	kcal/day	Clinical data
Fat	Percentage of fat in daily diet	%	Clinical data
Sat	Percentage of saturated fats in daily diet	%	Clinical data
Poly	Percentage of polyunsaturated fats in daily diet	%	Clinical data
Mono	Percentage of monounsaturated fats in daily diet	%	Clinical data
Protein	Percentage of proteins in daily diet	%	Clinical data
CHO	Percentage of carbohydrates in daily diet	%	Clinical data
Alcohol	Percentage of alcohols in daily diet	%	Clinical data
M_i	NA	NA	Clinical data
Total_CE	Total Cholesterol esters	nmol/l	Lipid molecules: Total measures
Total_COH	Total Cholesterol	nmol/l	Lipid molecules: Total measures
Total_Cer	Total Ceramides	nmol/l	Lipid molecules: Total measures
Total_DG	Total Diacylglycerols	nmol/l	Lipid molecules: Total measures
Total_DHC	Total Dihexosylceramides	nmol/l	Lipid molecules: Total measures
Total_GM3	Total GM3 gangliosides	nmol/l	Lipid molecules: Total measures
Total_LPC	Total Lysophosphatidylcholines	nmol/l	Lipid molecules: Total measures
Total_LPC(O)	Total Lysoalkylphosphatidylcholines	nmol/l	Lipid molecules: Total measures
Total_LPE	Total Lysophosphatidylethanolamines	nmol/l	Lipid molecules: Total measures
Total_LPI	Total Lysophosphatidylinositols	nmol/l	Lipid molecules: Total measures
Total_MHC	Total Monohexosylceramides	nmol/l	Lipid molecules: Total measures
Total_PC	Total Phosphatidylcholines	nmol/l	Lipid molecules: Total measures
Total_PC(O)	Total Alkylphosphatidylcholines	nmol/l	Lipid molecules: Total measures
Total_PC(P)	Total Alkenylphosphatidylcholines	nmol/l	Lipid molecules: Total measures
Total_PE	Total Phosphatidylethanolamines	nmol/l	Lipid molecules: Total measures
Total_PE(O)	Total Alkylphosphatidylethanolamines	nmol/l	Lipid molecules: Total measures
Total_PE(P)	Total Alkylphosphatidylethanolamines	nmol/l	Lipid molecules: Total measures
Total_PG	Total Phosphatidylglycerols	nmol/l	Lipid molecules: Total measures
Total_PI	Total Phosphatidylinositols	nmol/l	Lipid molecules: Total measures
Total_SM	Total Sphingomyelins	nmol/l	Lipid molecules: Total measures
Total_TG	Total Triaclyglycerols	nmol/l	Lipid molecules: Total measures
Total_THC	Total Trihexosylceramides	nmol/l	Lipid molecules: Total measures
Total_dhCer	Total Dihydroceramides	nmol/l	Lipid molecules: Total measures
